역이름,y,x,호선,geometry
동대문,37.57142,127.009745,"[1, 4]",POINT (127.009745 37.57142)
동묘앞,37.572627,127.016429,"[1, 6]",POINT (127.016429 37.572627)
서울역,37.554648,126.972559,"[1, 4]",POINT (126.972559 37.554648)
시청,37.564718,126.977108,"[1, 2]",POINT (126.977108 37.564718)
신설동,37.575297,127.025087,"[1, 2]",POINT (127.025087 37.575297)
제기동,37.578103,127.034893,[1],POINT (127.034893 37.578103)
종각,37.570161,126.982923,[1],POINT (126.982923 37.570161)
종로3가,37.571607,126.991806,"[1, 3, 5]",POINT (126.991806 37.571607)
종로5가,37.570926,127.001849,[1],POINT (127.001849 37.570926)
청량리(서울시립대입구),37.580178,127.046835,[1],POINT (127.046835 37.580178)
강남,37.497175,127.027926,[2],POINT (127.027926 37.497175)
강변(동서울터미널),37.535095,127.094681,[2],POINT (127.094681 37.535095)
건대입구,37.540693,127.07023,"[2, 7]",POINT (127.07023 37.540693)
교대(법원.검찰청),37.493415,127.01408,"[2, 3]",POINT (127.01408 37.493415)
구로디지털단지,37.485266,126.901401,[2],POINT (126.901401 37.485266)
구의(광진구청),37.537077,127.085916,[2],POINT (127.085916 37.537077)
낙성대(강감찬),37.47693,126.963693,[2],POINT (126.963693 37.47693)
당산,37.53438,126.902281,[2],POINT (126.902281 37.53438)
대림(구로구청),37.49297,126.895801,"[2, 7]",POINT (126.895801 37.49297)
도림천,37.514287,126.882768,[2],POINT (126.882768 37.514287)
동대문역사문화공원(DDP),37.565138,127.007896,"[2, 4, 5]",POINT (127.007896 37.565138)
뚝섬,37.547184,127.047367,[2],POINT (127.047367 37.547184)
문래,37.517933,126.89476,[2],POINT (126.89476 37.517933)
방배,37.481426,126.997596,[2],POINT (126.997596 37.481426)
봉천,37.482362,126.941892,[2],POINT (126.941892 37.482362)
사당,37.47653,126.981685,"[2, 4]",POINT (126.981685 37.47653)
삼성(무역센터),37.508844,127.06316,[2],POINT (127.06316 37.508844)
상왕십리,37.564354,127.029354,[2],POINT (127.029354 37.564354)
서울대입구(관악구청),37.481247,126.952739,[2],POINT (126.952739 37.481247)
서초,37.491897,127.007917,[2],POINT (127.007917 37.491897)
선릉,37.504503,127.049008,[2],POINT (127.049008 37.504503)
성수,37.544581,127.055961,[2],POINT (127.055961 37.544581)
신답,37.57004,127.046481,[2],POINT (127.046481 37.57004)
신당,37.565972,127.01782,"[2, 6]",POINT (127.01782 37.565972)
신대방,37.487462,126.913149,[2],POINT (126.913149 37.487462)
신도림,37.508725,126.891295,[2],POINT (126.891295 37.508725)
신림,37.484201,126.929715,[2],POINT (126.929715 37.484201)
신정네거리,37.520074,126.852912,[2],POINT (126.852912 37.520074)
신촌,37.555134,126.936893,[2],POINT (126.936893 37.555134)
아현,37.557345,126.956141,[2],POINT (126.956141 37.557345)
양천구청,37.512398,126.865819,[2],POINT (126.865819 37.512398)
역삼,37.500622,127.036456,[2],POINT (127.036456 37.500622)
영등포구청,37.52497,126.895951,"[2, 5]",POINT (126.895951 37.52497)
왕십리(성동구청),37.561533,127.037732,"[2, 5]",POINT (127.037732 37.561533)
용답,37.561904,127.050899,[2],POINT (127.050899 37.561904)
용두(동대문구청),37.574028,127.038091,[2],POINT (127.038091 37.574028)
을지로3가,37.566295,126.99191,"[2, 3]",POINT (126.99191 37.566295)
을지로4가,37.566941,126.998079,"[2, 5]",POINT (126.998079 37.566941)
을지로입구,37.566014,126.982618,[2],POINT (126.982618 37.566014)
이대,37.556733,126.946013,[2],POINT (126.946013 37.556733)
잠실(송파구청),37.51395,127.102234,"[2, 8]",POINT (127.102234 37.51395)
잠실나루,37.520733,127.10379,[2],POINT (127.10379 37.520733)
잠실새내,37.511687,127.086162,[2],POINT (127.086162 37.511687)
종합운동장,37.510997,127.073642,"[2, 9]",POINT (127.073642 37.510997)
